horario,tensao_p1(V),tensao_p2(V),irradiacao(W/m2)
2022-08-21 18:27:29.874430,0.0,0.0,null
2022-08-21 18:27:29.974431,0.0,0.0,null
2022-08-21 18:27:30.074429,0.0,0.0,null
2022-08-21 18:27:30.174429,0.0,0.0,null
2022-08-21 18:27:30.274434,0.0,0.0,null
2022-08-21 18:27:30.374430,0.0,0.0,null
2022-08-21 18:27:30.474430,0.0,0.0,null
2022-08-21 18:27:30.574429,0.0,0.0,null
2022-08-21 18:27:30.674431,0.0,0.0,null
2022-08-21 18:27:30.774419,0.0,0.0,null
2022-08-21 18:27:30.874413,0.0,0.0,null
2022-08-21 18:27:30.974409,0.0,0.0,null
2022-08-21 18:27:31.074405,0.0,0.0,null
2022-08-21 18:27:31.174403,0.0,0.0,null
2022-08-21 18:27:31.274451,0.0,0.0,null
2022-08-21 18:27:31.374401,0.0,0.0,null
2022-08-21 18:27:31.474404,0.0,0.0,null
2022-08-21 18:27:31.574404,0.0,0.0,null
2022-08-21 18:27:31.674417,0.0,0.0,null
2022-08-21 18:27:31.774400,0.0,0.0,null
2022-08-21 18:27:31.874425,0.0,0.0,null
2022-08-21 18:27:31.974404,0.0,0.0,null
2022-08-21 18:27:32.074402,0.0,0.0,null
2022-08-21 18:27:32.174405,0.0,0.0,null
2022-08-21 18:27:32.274404,0.0,0.0,null
2022-08-21 18:27:32.374409,0.0,0.0,null
2022-08-21 18:27:32.474404,0.0,0.0,null
2022-08-21 18:27:32.574400,0.0,0.0,null
2022-08-21 18:27:32.674399,0.0,0.0,null
2022-08-21 18:27:32.774403,0.0,0.0,null
2022-08-21 18:27:32.874473,0.0,0.0,null
2022-08-21 18:27:32.974414,0.0,0.0,null
2022-08-21 18:27:33.074411,0.0,0.0,null
2022-08-21 18:27:33.174413,0.0,0.0,null
2022-08-21 18:27:33.274409,0.0,0.0,null
2022-08-21 18:27:33.374413,0.0,0.0,null
2022-08-21 18:27:33.474408,0.0,0.0,null
2022-08-21 18:27:33.574441,0.0,0.0,null
2022-08-21 18:27:33.674412,0.0,0.0,null
2022-08-21 18:27:33.774437,0.0,0.0,null
2022-08-21 18:27:33.874420,0.0,0.0,null
2022-08-21 18:27:33.974416,0.0,0.0,null
2022-08-21 18:27:34.074414,0.0,0.0,null
2022-08-21 18:27:34.174417,0.0,0.0,null
2022-08-21 18:27:34.274411,0.0,0.0,null
2022-08-21 18:27:34.374406,0.0,0.0,null
2022-08-21 18:27:34.474405,0.0,0.0,null
2022-08-21 18:27:34.574405,0.0,0.0,null
2022-08-21 18:27:34.674406,0.0,0.0,null
2022-08-21 18:27:34.774403,0.0,0.0,null
2022-08-21 18:27:34.874423,0.0,0.0,null
2022-08-21 18:27:34.974406,0.0,0.0,null
2022-08-21 18:27:35.074415,0.0,0.0,null
2022-08-21 18:27:35.174415,0.0,0.0,null
2022-08-21 18:27:35.274410,0.0,0.0,null
2022-08-21 18:27:35.374405,0.0,0.0,null
2022-08-21 18:27:35.474403,0.0,0.0,null
2022-08-21 18:27:35.574402,0.0,0.0,null
2022-08-21 18:27:35.674403,0.0,0.0,null
2022-08-21 18:27:35.774401,0.0,0.0,null
2022-08-21 18:27:35.874425,0.0,0.0,null
2022-08-21 18:27:35.974405,0.0,0.0,null
2022-08-21 18:27:36.074403,0.0,0.0,null
2022-08-21 18:27:36.174400,0.0,0.0,null
2022-08-21 18:27:36.274407,0.0,0.0,null
2022-08-21 18:27:36.374404,0.0,0.0,null
2022-08-21 18:27:36.474404,0.0,0.0,null
2022-08-21 18:27:36.574405,0.0,0.0,null
2022-08-21 18:27:36.674403,0.0,0.0,null
2022-08-21 18:27:36.774449,0.0,0.0,null
2022-08-21 18:27:36.874501,0.0,0.0,null
